code,name,lecturer,description,ects
CE4A61,4A61 STRUCTURES 1,CE4A61,CE4A61,0
CEU44A61,4A61 STRUCTURES 1,CEU44A61,CEU44A61,0
CE4A62,4A62 STRUCTURES 2 ADVANCED DESIGN OF STRUCTS,CE4A62,CE4A62,0
CEU44A62,4A62 STRUCTURES 2 ADVANCED DESIGN OF STRUCTS,CEU44A62,CEU44A62,0
CE4A8,4A8 TRANSPORTATION,CE4A8,CE4A8,0
CEU44A08,4A8 TRANSPORTATION,CEU44A08,CEU44A08,0
ME4B01,4B01 MECHANICS OF SOLIDS,ME4B01,ME4B01,0
ME4B02,4B02 FORENSIC MATERIALS ENGINEERING,ME4B02,ME4B02,0
ME4B03,4B03 THERMODYNAMICS,ME4B03,ME4B03,0
ME4B04,4B04 HEAT TRANSFER,ME4B04,ME4B04,0
ME4B05,4B05 MANUFACTURING TECHNOLOGY,ME4B05,ME4B05,0
ME4B06,4B06 MANUFACTURING SYSTEMS AND PROJECT MANAGEMENT,ME4B06,ME4B06,0
ME4B07,4B07 COMPUTER AIDED ENGINEERING,ME4B07,ME4B07,0
MEU44B01,4B1 MECHANICS OF SOLIDS,MEU44B01,MEU44B01,0
ME4B12,4B12 ACOUSTICS,ME4B12,ME4B12,0
MEU44B13,4B13 FLUID MECHANICS 2,MEU44B13,MEU44B13,0
ME4B13,4B13 FLUID MECHANICS 2A,ME4B13,ME4B13,0
ME4B17,4B17 MULTIBODY DYNAMICS,ME4B17,ME4B17,0
MEU44B17,4B17 MULTIBODY DYNAMICS,MEU44B17,MEU44B17,0
ME4B19,4B19 BIOMECHANICS,ME4B19,ME4B19,0
MEU44B02,4B2 FORENSIC MATERIALS ENGINEERING,MEU44B02,MEU44B02,0
ME4B20,4B20 BIOMATERIALS,ME4B20,ME4B20,0
ME4B21,4B21 THERMAL ENGINEERING AND TECHNOLOGY,ME4B21,ME4B21,0
MEU44B21,4B21 THERMAL ENGINEERING AND TECHNOLOGY,MEU44B21,MEU44B21,0
MEU44B03,4B3 THERMODYNAMICS,MEU44B03,MEU44B03,0
MEU44B04,4B4 HEAT TRANSFER,MEU44B04,MEU44B04,0
MEU44B05,4B5 MANUFACTURING TECHNOLOGY,MEU44B05,MEU44B05,0
MEU44B06,4B6 MANUFACTURING SYSTEMS AND PROJECT MANAGEMENT,MEU44B06,MEU44B06,0
MEU44B07,4B7 COMPUTER AIDED DESIGN,MEU44B07,MEU44B07,0
MEU44B09,4B9 CONTROL ENGINEERING I,MEU44B09,MEU44B09,0
ME4BIO1,4BIO1 CELL  MOLECULAR BIOLOGY,ME4BIO1,ME4BIO1,0
MEU44BM1,4BIO1 CELL AND MOLECULAR BIOLOGY,MEU44BM1,MEU44BM1,0
ME4BIO2,4BIO2 TELEMEDICINE,ME4BIO2,ME4BIO2,0
EE4BIO3,4BIO3 PHYSICAL AND PHYSIOLOGICAL MEASUREMENTS,EE4BIO3,EE4BIO3,0
ME4BIO4,4BIO4 EXPERIMENTAL AND RESEARCH METHODS IN BIOMEDICAL ENGINEERING,ME4BIO4,ME4BIO4,0
MEU44BM4,4BIO4 EXPERIMENTAL AND RESEARCH METHODS IN BIOMEDICAL ENGINEERING,MEU44BM4,MEU44BM4,0
ME4BIO5,4BIO5 BIOMECHANICS,ME4BIO5,ME4BIO5,0
MEU44BM5,4BIO5 BIOMECHANICS,MEU44BM5,MEU44BM5,0
ME4BIO6,4BIO6 BIOMATERIALS,ME4BIO6,ME4BIO6,0
MEU44BM6,4BIO6 BIOMATERIALS,MEU44BM6,MEU44BM6,0
EEU44C01,4C1 INTEGRATED SYSTEMS DESIGN,EEU44C01,EEU44C01,0
EE4C01,4C1 INTEGRATED SYSTEMS DESIGN,EE4C01,EE4C01,0
